IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES
"123.136.116.161","8/15/2018 5:07 PM","GMT","5.98","27.24","21","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:07 PM","GMT","1.88","18.83","22","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:08 PM","GMT","4.84","23.57","27","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:08 PM","GMT","7.88","23.66","27","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:09 PM","GMT","2.29","11.25","24","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:10 PM","GMT","5.46","9.69","25","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:10 PM","GMT","4.13","10.68","27","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:11 PM","GMT","5.24","10.88","27","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:12 PM","GMT","3.89","19.92","29","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:12 PM","GMT","5.97","20.26","34","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:13 PM","GMT","5.96","21.31","34","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:13 PM","GMT","3.15","18.14","34","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:14 PM","GMT","3.18","11.89","24","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:15 PM","GMT","7.23","11.53","28","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:15 PM","GMT","7.01","11.31","28","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:16 PM","GMT","4.06","9.90","32","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:17 PM","GMT","2.54","25.70","36","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:17 PM","GMT","2.83","26.86","34","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:18 PM","GMT","3.75","25.62","29","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:18 PM","GMT","5.73","24.44","29","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:19 PM","GMT","4.10","10.32","26","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:20 PM","GMT","5.32","11.52","34","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:20 PM","GMT","3.75","10.86","27","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:21 PM","GMT","6.22","12.83","26","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:21 PM","GMT","8.72","13.18","25","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:22 PM","GMT","6.64","12.84","28","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:23 PM","GMT","5.36","24.76","31","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:23 PM","GMT","7.44","26.60","27","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:24 PM","GMT","6.55","25.65","30","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:25 PM","GMT","4.78","16.41","25","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:25 PM","GMT","2.19","12.27","24","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:26 PM","GMT","5.63","9.82","27","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:26 PM","GMT","1.82","12.04","22","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:27 PM","GMT","2.98","25.26","32","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:28 PM","GMT","1.95","24.74","28","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:28 PM","GMT","7.17","24.00","34","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:29 PM","GMT","4.29","24.98","33","Kuala Lumpur","0"
"123.136.116.161","8/15/2018 5:30 PM","GMT","3.49","19.77","29","Kuala Lumpur","0"
